m0_x,m0_y,m1_x,m1_y,m2_x,m2_y
nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan
473.9146,521.8171,612.0000,514.4118,687.5000,322.5000
473.7727,521.4091,612.0000,514.1562,687.0000,322.5000
474.0000,521.5000,612.5000,514.0000,687.5000,322.5000
474.0000,521.5000,612.0000,514.1562,687.5000,322.5000
474.0000,521.8438,612.5000,514.3824,686.5455,322.3636
473.8684,521.4474,612.5000,514.0000,687.0000,322.5000
474.3857,521.9643,612.4000,514.0000,686.5000,322.5000
474.0000,522.0000,612.3400,513.9500,686.5000,322.5000
474.0000,521.8438,612.0000,514.0000,686.8077,322.6538
474.0000,521.5000,612.5000,514.0000,686.0556,322.5000
473.5000,521.8750,612.0000,514.0000,686.0455,322.7727
474.0000,522.0000,612.4000,514.0000,686.0630,322.5168
474.0000,522.0000,612.0000,514.0000,686.0000,323.0000
473.5000,521.8750,612.0000,514.0000,686.1094,322.7812
474.0000,522.0000,612.5000,514.0000,686.0000,323.0000
474.0000,522.0000,612.0000,514.0000,686.0000,323.0000
474.0000,522.0000,612.0000,514.0000,686.1031,322.6069
474.0000,522.0000,612.4000,514.0000,687.0000,323.0000
474.0000,522.0000,612.0000,514.0000,687.0000,323.0000
474.0000,522.0000,612.0000,514.0000,686.0000,322.5000
473.5000,521.8750,612.0000,514.0000,687.0000,322.7500
474.0000,522.0000,612.0000,514.0000,687.0455,322.7727
473.5556,521.8889,612.0000,514.0000,686.8077,322.6538
474.0000,522.0000,611.6600,514.0500,687.0455,322.7727
473.3065,521.8871,611.8810,514.1190,687.0000,322.7500
474.0000,522.0000,612.5000,514.5000,686.8077,322.6538
474.0000,522.0000,612.5000,514.5000,687.0455,322.7727
474.0000,522.0000,612.6250,514.5000,687.5000,323.0000
473.5556,521.8889,611.6600,514.0500,687.0789,322.6053
473.5556,521.8889,612.0000,514.5000,687.0455,322.7727
474.0000,522.0000,611.6600,514.0500,687.0455,322.7727
473.5000,521.5000,611.6600,514.0500,687.0000,322.5000
474.0000,522.0000,612.0000,514.0000,686.8077,322.6538
474.0000,522.0000,612.0000,514.0000,686.5000,322.5000
474.0000,522.0000,612.0000,514.0000,687.0789,322.6053
474.0000,522.0000,611.6600,514.0500,687.0000,322.5000
473.5000,521.5000,612.3857,514.0357,687.0789,322.6053
474.0000,522.0000,612.0000,514.0000,687.0000,322.5000
474.0000,522.0000,612.0000,514.0000,687.0789,322.6053
474.0000,522.0000,612.1667,514.1667,687.5000,322.7857
473.5000,521.5000,611.7703,514.1419,687.0789,322.6053
474.0000,522.0000,612.0000,514.0000,687.0789,322.6053
473.5000,521.5000,611.6600,514.0500,688.0000,323.0000
474.0000,522.0000,612.5000,514.0000,687.8158,322.9211
474.0000,522.0000,612.5000,514.0000,687.5714,323.0000
474.0000,522.0000,612.5000,514.0000,688.0000,323.0000
473.5000,521.8750,611.8148,514.4074,688.0000,323.3333
473.5000,521.8750,612.0000,514.0000,687.5192,323.3654
474.0000,522.0000,612.0000,514.1562,688.0000,323.3333
474.0000,522.0000,612.0000,514.1562,687.5000,323.5000
473.5000,522.0000,612.0000,514.0000,688.0000,323.3333
474.0000,522.0000,612.0000,514.0000,688.0000,323.3333
474.0000,522.0000,612.1667,514.1667,687.1471,323.3235
474.0000,522.0000,611.6600,514.0500,687.5000,323.5000
474.0000,522.0000,611.6600,514.0500,687.5000,323.5000
473.5000,521.5000,611.6600,514.0500,687.1610,323.2119
473.5000,521.5000,612.0000,514.0000,687.5192,323.3654
474.0000,522.0000,612.1250,514.2188,687.5192,323.3654
473.6379,521.7759,612.0000,514.0938,687.5192,323.3654
474.0000,522.0000,612.5000,514.1250,687.5192,323.3654
473.6274,522.1497,612.1667,514.1667,687.5000,323.3667
473.5537,521.7819,612.0000,514.0000,687.5192,323.3654
473.6538,521.8077,612.5000,514.5000,687.5714,323.0000
473.6274,522.1497,612.1205,514.4337,687.5000,323.3667
473.6274,522.1497,611.8571,514.2143,687.5000,323.0000
474.0000,522.0000,611.6600,514.0500,687.5000,323.3667
474.0000,522.0000,611.6600,514.0500,687.5714,323.0000
473.5000,522.0000,612.0000,514.1562,687.5192,323.3654
