m0_x,m0_y,m0_z,m1_x,m1_y,m1_z,m2_x,m2_y,m2_z
-99.7951,90.8699,753.1519,-21.4913,44.0581,797.7412,30.1493,37.3904,782.5829
-99.8187,90.8618,753.1175,-21.4615,44.0011,797.7833,30.1000,37.3496,782.5259
-99.8230,90.8592,753.0884,-21.4603,43.9573,797.8207,30.0557,37.3039,782.4772
-99.8159,90.8577,753.1158,-21.4521,43.9317,797.8465,30.0090,37.2551,782.4283
-99.8205,90.8624,753.1211,-21.4359,43.9060,797.8655,29.9997,37.1957,782.4177
-99.8378,90.8739,753.1050,-21.4598,43.8655,797.8255,29.9779,37.1552,782.3961
-99.8384,90.8826,753.0827,-21.4766,43.8281,797.7742,29.9509,37.1269,782.3702
-99.8129,90.9068,753.0821,-21.4900,43.7982,797.7316,29.9560,37.1064,782.3767
-99.8048,90.9363,753.1002,-21.5023,43.7709,797.6904,29.9521,37.0899,782.3753
-99.8068,90.9591,753.0926,-21.4932,43.7517,797.6914,29.9341,37.0795,782.3613
-99.8240,90.9744,753.1003,-21.4842,43.7357,797.7095,29.8923,37.0741,782.3255
-99.8534,90.9982,753.0691,-21.4676,43.7207,797.7544,29.8725,37.0751,782.3136
-99.8724,91.0114,753.0681,-21.4460,43.7099,797.7782,29.8192,37.0551,782.2694
-99.8812,91.0246,753.0717,-21.4106,43.6958,797.8400,29.7755,37.0383,782.2392
-99.8786,91.0273,753.0628,-21.3608,43.6735,797.8901,29.7338,37.0087,782.1927
-99.8680,91.0327,753.0611,-21.3394,43.6541,797.9147,29.6880,36.9494,782.1447
-99.8735,91.0406,753.0585,-21.3428,43.6409,797.9178,29.5909,36.8769,782.0513
-99.9044,91.0246,753.0466,-21.3216,43.6291,797.9549,29.5336,36.8290,782.0020
-99.9256,91.0105,753.0459,-21.3223,43.6193,797.9768,29.4891,36.8035,781.9482
-99.9356,91.0037,753.0619,-21.3451,43.6099,797.9869,29.4511,36.7906,781.9050
-99.9378,90.9996,753.0717,-21.3251,43.6032,798.0625,29.4085,36.7785,781.8603
-99.9446,91.0043,753.0620,-21.3276,43.5943,798.1402,29.3541,36.7653,781.8066
-99.9464,91.0205,753.0455,-21.3533,43.5816,798.2328,29.2834,36.7637,781.7393
-99.9449,91.0370,753.0405,-21.4048,43.5776,798.3028,29.2371,36.7686,781.6899
-99.9399,91.0565,753.0461,-21.4391,43.5784,798.3573,29.1865,36.8042,781.6410
-99.9244,91.0881,753.0466,-21.4616,43.5926,798.4039,29.1443,36.8601,781.6019
-99.8990,91.1152,753.0633,-21.4758,43.6100,798.4301,29.1044,36.8932,781.5643
-99.9014,91.1369,753.0490,-21.4849,43.6261,798.4734,29.0593,36.9271,781.5152
-99.9322,91.1567,753.0012,-21.4895,43.6411,798.5007,29.0022,36.9493,781.4526
-99.9555,91.1525,752.9764,-21.4904,43.6576,798.5164,28.9236,36.9636,781.3661
-99.9743,91.1545,752.9555,-21.4881,43.6638,798.5334,28.8629,36.9743,781.2927
-99.9927,91.1484,752.9459,-21.4824,43.6607,798.5542,28.8112,36.9804,781.2451
